399673,创业板50指数
399674,深A医药卫生
399675,深A软件互联
399676,深A医药等权
399677,深A互联等权
399678,深证次新股指
399679,深证200收益
399680,深成能源指数
399681,深成材料指数
399682,深成工业指数
399683,深成可选消费
399684,深成主要消费
399685,深成医药卫生
399686,深成金融地产
399687,深成信息技术
399688,深成电信业务
399689,深成公用事业
399690,中小企业专利领先指数
399691,深证创业专利
399692,创业300低波
399693,深证安防产业
399694,创业300高贝
399695,深证节能环保
399696,深证创业投资
399697,中关村60指数
399698,深证优势成长
