515160,MSCICHNA,51995.51,
515170,食品饮料ETF,386875.79,
515180,红利ETF易方达,123163.7,
515190,中银证券500ETF,4546.61,
515200,创新100ETF,12694.32,
515210,钢铁ETF,96422.61,
515220,煤炭ETF,147858.85,
515230,软件ETF,28069.09,
515250,智能汽车ETF,40294.45,
515260,电子ETF,51328.42,
515280,银行龙头ETF,5731.86,
515290,银行ETF天弘,835453.29,
515300,红利300,6167.52,
515310,沪深300添富ETF,15711.12,
515320,电子50,22630.9,
515330,天弘300,538770.95,
515350,民生300,4589.92,
515360,方正300,3277.93,
515380,泰康沪深300ETF,95769.98,
515390,华安沪深300ETF,89468.3,
515400,大数据ETF,18763.14,
515450,红利50,15133.5,
515500,长三角LX,4340.48,
515510,500成长,1053.4,
515520,价值100,2566.68,
515530,泰康中证500ETF,1704.27,
515550,中融中证500ETF,1934.57,
515560,证券ETF建信,45288.33,
515570,山证红利ETF,3744.39,
515580,科技100ETF,55403.14,
515590,500等权ETF,2611.37,
515600,央企创新ETF,149679.74,
515610,中银800,4485.74,
515630,证保ETF,11221.77,
515650,消费50ETF,121118.4,
515660,国联安沪深300ETF,12849.42,
515670,中银100,6632.25,
515680,创新央企,155226.47,
515690,股息ETF,1608.8,
515700,新能车ETF,203351.02,
515710,食品ETF,123859.98,
515750,科技50ETF,50314.05,
515760,浙江国资,20538.81,
515770,MSCIAETF,12072.73,
515780,浦银MSCI,20678.52,
515790,光伏ETF,845349.4,
515800,800ETF,159343.72,
515810,ZZ800ETF,6890.88,
515820,沪深800,13652.61,
515830,工银中证800ETF,315.31,
515850,证券龙头ETF,16779.1,
515860,科技ETF基金,18087.89,
515870,先进制造ETF,3449.89,
515880,通信ETF,170246.23,
515890,红利博时,4044.39,
515900,央创ETF,364464.65,
515910,质量ETF,44350.7,
515920,智能消费ETF,32840.57,
515930,永赢沪深300ETF,3557.47,
515950,医药龙头ETF,19020.06,
515960,医药健康ETF,29799.19,
515980,人工智能ETF,28406.45,
515990,添富国企,9335.02,
516000,大数据50ETF,5585.5,
516010,游戏ETF,39869.3,
516020,化工ETF,43932.62,
516050,科技龙头ETF,83222.8,
516060,创新药产业ETF,12123.74,
516070,碳中和50ETF,74164.6,
516080,创新药ETF易方达,33955.48,
516090,新能源ETF易方达,45984.48,
516100,互联网金融ETF,9575.97,
516110,汽车ETF,17862.31,
516120,化工50ETF,26208.2,
516130,消费龙头ETF,11189,
516150,稀土ETF基金,154807.7,
516160,新能源ETF,195480.4,
516180,光伏ETF平安,11098.7,
516190,文娱传媒ETF,921.85,
516200,证券行业ETF,4560.4,
516210,银行股ETF,7453.1,
516220,化工龙头ETF,22317,
516260,物联网50ETF,15788.26,
516270,新能源50ETF,14690.9,
516290,光伏ETF基金,31919.69,
516300,1000ETF基金,3960.22,
516310,银行ETF易方达,21475.85,
516320,高端装备ETF,6258.93,
516330,物联网ETF,6487.13,
516350,芯片50ETF,16641.53,
516360,新材料ETF,12255.18,
516380,智能电动车ETF,14444.93,
516390,新能源汽车ETF,24626.1,
516400,ESG龙头,545.9,
516480,新材料基,3414.61,
516500,生物科技ETF,9793.72,
516510,云计算ETF,10489,
516520,智能驾驶ETF,14176.55,
516550,农业ETF,11941.44,
516560,养老ETF,6775.8,
516570,化工行业ETF,4035.76,
516580,新能源主题ETF,13212.41,
516590,智能电动汽车ETF,12001.5,
516600,消费服务ETF,18233.21,
516610,医疗服务ETF,10397.48,
516620,影视ETF,1726.75,
516630,云计算50ETF,6415.6,
516640,芯片龙头ETF,56368.28,
516650,有色50ETF,3246.48,
516660,新能汽车ETF,36368.9,
516670,畜牧养殖ETF,10126.63,
516680,有色ETF基金,4162.41,
516690,化工产业ETF,16224.3,
516700,大数据产业ETF,2062.2,
516710,新材料50ETF,7627.2,
516720,ESGETF,15333.78,
516730,证券公司ETF,17338.08,
516750,建材ETF,1566.73,
516760,养殖ETF,16021.51,
516770,游戏动漫ETF,11984.8,
516780,稀土ETF,85554.98,
516790,医疗保健ETF,18918.22,
516800,智能制造ETF,32115.4,
516820,医疗创新ETF,123741.52,
516830,300ESGETF,37467.69,
516850,新能源80ETF,6023.7,
516860,金融科技ETF,2152.2,
516870,汽车,798.88,
516880,光伏50ETF,96594.41,
516890,新材料ETF平安,6331.14,
516900,食品50ETF,3722.9,
516910,物流ETF,3764.18,
516920,芯片ETF基金,48096.3,
516930,生物科技ETF基金,14213.96,
516950,基建ETF,93582.1,
516960,机械ETF,8305.11,
516970,基建50ETF,481354.25,
516980,证券先锋ETF,3551.6,
517000,沪港深500ETF,84279.3,
517010,HGS500E,2114.42,
517030,HGS300,4504.03,
517050,互联网50ETF,100960.5,
517060,沪港深ETF500,2476.72,
517080,沪港深500ETF基金,77716.6,
517090,N共赢ETF,19207.5,
517100,沪深港500ETF,55760.21,
517110,创新药沪深港ETF,20709.85,
517120,沪港深创新药ETF,52296.64,
517170,沪港深E,5113.18,
517180,N共赢,11449.63,
517200,互联网ETF,26778.2,
517280,网购ETF,4455.25,
517300,沪港深300ETF,296143.45,
517350,中概科技ETF,16904.2,
517360,AH科技,9408.3,
517380,创新药AH,28432.63,
517390,云计算沪港深ETF,10811.26,
517660,物联网沪港深ETF,3748.07,
517770,游戏传媒,6894.78,
517800,人工智能50ETF,5653.97,
517880,品牌消费,8933.71,
517960,科技AH,20618.2,
518600,上海金ETF,4129.36,
518660,黄金ETF基金,2955.27,
518680,金ETF,3705.8,
518800,黄金基金ETF,14591.99,
518850,黄金ETF9999,5467.87,
518860,上海金E,1755.98,
518880,黄金ETF,333844.08,
518890,中银上海金ETF,2515.48,
560000,智慧电车ETF,1602.29,
560050,MSCIA50,817193.44,
560500,中证500成长ETF,15833.9,
560560,泰康碳中和ETF,21219.01,
560660,云50ETF,23596.9,
561130,国货ETF,24593.52,
561300,300增强ETF,178546.5,
561310,消电ETF,9091.66,
561350,国泰中证500ETF,28070,
561500,漂亮50,20760.03,
561550,500增强ETF,122698.96,
561600,消费电子,2527.4,
561800,稀有金属ETF基金,15857.72,
561900,沪深ESG,8933.44,
561910,电池ETF,19907.66,
561990,沪深300增强ETF,78614.92,
562360,机器人50ETF,7647.4,
562800,稀有金属ETF,64664.5,
562880,电池ETF基金,22339.96,
562900,现代农业ETF,4870.63,
563000,中国A50,908095.11,
588000,科创50ETF,1435616.82,
588050,科创ETF,335924.13,
588060,上证科创,27314,
588080,科创板50ETF,768762.81,
588090,科创板ETF,204547.28,
588150,科创龙头ETF,17293.26,
588180,科创50ETF基金,206485.37,
588280,科创50ETF华安,22412.1,
588300,双创ETF,219121.05,
588310,双创ETF基金,11643.75,
588330,双创龙头ETF,168373.78,
588360,科创创业ETF,72028.18,
588380,创50ETF,242677,
588390,科创创业50ETF,50993.59,
588400,双创50ETF,240060.06,
159601,A50ETF,969778.8073,2021-11-08
159602,中国A50ETF,392854.2944,2021-11-08
159605,中概互联ETF,231948.6155,2021-12-02
159606,中证500成长ETF,96522.2838,2021-12-29
159607,中概互联网ETF,51382.9139,2021-12-02
159608,稀有金属ETF,48401.0066,2021-12-23
159701,物联网ETF招商,5270.5601,2021-12-23
159702,AIETF,1193.1077,2021-05-18
159703,新材料ETF,5718.1591,2021-06-08
159706,深证100ETF华安,19288.68,2021-12-20
159707,地产ETF,3004.8214,2021-11-12
159708,红利ETF,24402.8306,2021-07-02
159709,物联网ETF工银,16648.406,2021-07-02
159710,智能电车ETF,6434.4933,2021-08-09
159711,港股通ETF,28846.5157,2021-12-28
159712,港股通50ETF,9577.8813,2021-11-11
159713,稀土ETF,26725.5051,2021-08-16
159715,稀土ETF易方达,39353.0274,2021-09-10
159716,深创100ETF,19566.6732,2021-06-28
159717,ESGETF,5787.3183,2021-09-29
159718,港股医药ETF,22483.2634,2021-12-28
159719,开放共赢ETF,9819.5986,2021-12-28
159720,智能电动车ETF,12081.2357,2021-07-20
159721,深创龙头ETF,10343.1696,2021-06-25
159723,科技龙头ETF,6702.5575,2021-10-15
159725,线上消费ETF,10642.4924,2021-07-02
159726,恒生红利ETF,7741.138,2021-11-23
159729,互联网ETF,22876.0633,2021-07-21
159730,家电ETF基金,5657.134,2021-12-24
159731,石化ETF,2037.5802,2021-12-10
159732,消费电子ETF,12344.7904,2021-08-23
159733,消费电子50ETF,4415.6925,2021-09-29
159735,港股消费ETF,10856.1371,2021-06-04
159736,饮食ETF,664939.4457,2021-09-27
159739,大数据ETF,9818.0615,2021-11-17
159740,恒生科技ETF,65812.0448,2021-05-27
159741,恒生科技ETF基金,40879.6712,2021-06-03
159742,恒生科技指数ETF,34792.8292,2021-05-25
159745,建材ETF,29368.8265,2021-06-18
159747,香港科技ETF,42042.373,2021-07-14
159748,沪港深创新药ETF,28469.2128,2021-12-03
159751,港股科技ETF,21562.9628,2021-12-28
159752,新能源龙头ETF,20495.8917,2021-07-28
159755,电池ETF,152164.6746,2021-06-24
159757,电池30ETF,40093.1891,2021-08-09
159758,红利50ETF,21429.0777,2021-12-28
