399675,深互联网
399974,国企改革
399310,国证A50
399286,区块链50
399809,保险主题
399644,深证时钟
980052,绿色金融
480052,绿色金融R
983077,深港通运输
483077,深港通运输R
980012,湾区服务(港币)
480012,湾区服务R(港币)
399377,小盘价值
399398,绩效指数
399614,深证材料
487011,港股大中盘R（人民币）
987018,港股通生物科技
487018,港股通生物科技R
987011,港股大中盘（人民币）
983050,深港通耐用消费（港币）
483050,深港通耐用消费R（港币
983015,深港通材料
483015,深港通材料R
399235,建筑指数
480005,GTCOM港股通100R
980005,GTCOM港股通100
399355,长三角
480019,湾区海洋R
980019,湾区海洋
987013,港股大盘（人民币）
487013,港股大盘R（人民币）
399375,中盘价值
399356,珠三角
480058,绿色治理R
980058,绿色治理
399307,深证转债
980053,绿色金融（港币）
480053,绿色金融R（港币）
399901,小康指数
487004,港股通50R（人民币）
987004,港股通50（人民币）
983078,深港通运输（港币）
483078,深港通运输R（港币）
987002,港股50（人民币）
487002,港股50R（人民币）
480003,湾区综指R
980003,湾区综指
983065,深港通食品饮料
483065,深港通食品饮料R
399382,1000材料
399903,中证100
399372,大盘成长
399313,巨潮100
987010,港股大中盘
487010,港股大中盘R
399423,中关村50
483016,深港通材料R（港币）
983016,深港通材料（港币）
983007,深港通100
980006,GTCOM港股通100（港币）
483007,深港通100R
480006,GTCOM港股通100R（港币
987012,港股大盘
980020,湾区海洋(港币)
480020,湾区海洋R(港币)
487012,港股大盘R
399294,中小创Q
399602,中小成长
399986,中证银行
987003,港股通50
487003,港股通50R
399431,国证银行
487001,港股50R
987001,港股50
399413,国证转债
980004,湾区综指(港币)
480004,湾区综指R(港币)
483066,深港通食品饮料R（港币
983066,深港通食品饮料（港币）
983089,深港通大湾区
483089,深港通大湾区R
483001,内地100R
983001,内地100
399552,央视成长
483019,深港通可选消费R
983019,深港通可选消费
399399,中经GDP
399416,I300
399366,国证大宗
399368,国证军工
399383,1000工业
399370,国证成长
983011,深港通绿色优选
483011,深港通绿色优选R
399003,成份Ｂ指
483008,深港通100R(港币)
983008,深港通100(港币)
399314,巨潮大盘
399239,IT指数
399348,深证价值
983081,深港通银行
399807,高铁产业
483081,深港通银行R
980029,新基建
483005,深港通综指R
983005,深港通综指
399108,深证Ｂ指
399352,深企综指
399328,深证治理
980056,价值因子
480056,价值因子R
483090,深港通大湾区R(港币)
983090,深港通大湾区(港币)
399300,沪深300
399354,分析师指数
399653,深证龙头
983002,内地100(港币)
483002,内地100R(港币)
483020,深港通可选消费R（港币
983020,深港通可选消费（港币）
399631,1000价值
480001,湾创100R
980001,湾创100
480036,创新龙头R
980036,创新龙头
399972,300深市
399408,小盘低波
399318,国证Ｂ指
399004,深证100R
399378,ESG 300
399330,深证100
399312,国证300
989008,新华ESG300
983012,深港通绿色优选(港币)
483012,深港通绿色优选R(港币)
489008,新华ESG300R
399649,中小红利
399651,中小责任
399357,环渤海
399705,深证中游
399967,中证军工
399279,云科技50
399351,创新示范
983082,深港通银行（港币）
483082,深港通银行R（港币）
489006,新华新兴消费R
399404,大盘低波
989006,新华新兴消费
399400,大中盘
399661,深证低波
483006,深港通综指R(港币)
983006,深港通综指(港币)
399682,深成工业
399704,深证上游
489001,新华500R
989001,新华500
983067,深港通半导体
483067,深港通半导体R
480002,湾创100R(港币)
980002,湾创100(港币)
480037,创新龙头R（港币）
980037,创新龙头（港币）
399311,国证1000
399982,500等权
399341,深证责任
399642,中小新兴
399346,深证成长
399802,500深市
399013,深市精选
399645,100低波
399298,深信中高
399301,深信用债
399302,深公司债
399554,央视治理
399339,深证科技
489007,新华新兴消费R(港币)
989007,新华新兴消费(港币)
399344,深证300R
399007,深证300
399658,中小绩效
399630,1000成长
399555,央视责任
399481,企债指数
399665,中创低波
983017,深港通工业
483017,深港通工业R
399374,中盘成长
483068,深港通半导体R（港币）
983068,深港通半导体（港币）
399803,工业4.0
399406,中盘低波
399380,国证ETF
399422,中关村A
983021,深港通主要消费
483021,深港通主要消费R
399333,中小100R
399005,中小100
399905,中证 500
399002,深成指R
399001,深证成指
399278,长江100
399282,大数据50
399317,国证Ａ指
399379,国证基金
483045,深港通消费服务R
983045,深港通消费服务
399376,小盘成长
399629,700价值
399550,央视50
399650,中小治理
399634,中小等权
980068,蓝色100
480068,蓝色100R
980018,国证5G
480018,国证5GR
399060,碳科技60
399418,国证国安
483069,深港通工业品R
489004,新华优选价值50R
983069,深港通工业品
989004,新华优选价值50
399248,文化指数
399656,100绩效
399657,300绩效
399663,中小低波
399433,国证交运
399633,深300EW
399659,深成指EW
399050,创新引擎
399292,民企发展
983018,深港通工业（港币）
483018,深港通工业R（港币）
399632,深100EW
483055,深港通工业服务R
983055,深港通工业服务
399011,深证1000
399100,新 指 数
983160,低碳科技
483160,低碳科技R
399610,TMT50
983022,深港通主要消费（港币）
483022,深港通主要消费R（港币
399236,批零指数
399296,创成长
399687,深成信息
399363,云科技
399639,深证大宗
399337,深证民营
399621,深证电信
399405,大盘高贝
983046,深港通消费服务（港币）
483046,深港通消费服务R（港币
399365,国证农业
399556,央视生态
399612,中创100
399611,中创100R
399396,国证食品
399805,互联金融
480069,蓝色100R(港币)
980069,蓝色100(港币)
399008,中小300
399699,金融科技
399667,创业板G
399673,创业板50
483070,深港通工业品R（港币）
983070,深港通工业品（港币）
399806,环境治理
399353,国证物流
399316,巨潮小盘
399652,中创高新
399623,中小基础
399306,深证ETF
399401,中小盘
399817,生态100
399103,乐富指数
399106,深证综指
399107,深证Ａ指
399315,巨潮中盘
399409,小盘高贝
483056,深港通工业服务R（港币
983056,深港通工业服务（港币）
483161,低碳科技R(港币)
983161,低碳科技(港币)
399326,成长40
399620,深证信息
399360,新硬件
399997,中证白酒
399641,深证新兴
980055,规模因子
399992,CSWD并购
480055,规模因子R
399812,养老产业
399242,商务指数
399359,国证基建
399285,物联网50
399604,中小价值
483047,深港通网络软件R
983047,深港通网络软件
399627,中创价值
399683,深成可选
399101,中小综指
399697,中关村60
399369,国证责任
399088,深创100
399615,深证工业
399935,中证信息
983063,深港通化工
483063,深港通化工R
489010,长三角崛起城市R
989010,长三角崛起城市
399244,公共指数
480023,南山50R
980023,南山50
399415,I100
399970,移动互联
399679,深证200R
399009,深证200
399626,中创成长
399429,新丝路
399625,中创500
399410,苏州率先
399389,国证通信
399427,专利领先
483031,深港通公用事业R
983031,深港通公用事业
480017,国证芯片R
980017,国证芯片
399395,国证有色
399987,中证酒
399385,1000消费
399102,创业板综
399303,国证2000
399608,科技100
399233,制造指数
399291,创精选88
983048,深港通网络软件（港币）
483048,深港通网络软件R（港币
399698,优势成长
399388,1000信息
983075,深港通传媒
483075,深港通传媒R
399668,创业板V
399996,智能家居
399362,民企100
983064,深港通化工（港币）
483064,深港通化工R（港币）
399640,创业基础
399606,创业板R
399006,创业板指
480024,南山50R(港币)
980024,南山50(港币)
399994,信息安全
980049,国证酒指
983027,深港通信息技术
483027,深港通信息技术R
399012,创业300
399010,深证700
483032,深港通公用事业R（港币
983032,深港通公用事业（港币）
399616,深证可选
983033,深港通通信服务
983029,深港通电信业务
483033,深港通通信服务R
483029,深港通电信业务R
483057,深港通电信服务R
983057,深港通电信服务
399690,中小专利
399628,700成长
980031,国证白酒
480057,动量因子R
980057,动量因子
399811,CSSW电子
399384,1000可选
399959,军工指数
399692,创业低波
983039,深港通汽车
483039,深港通汽车R
399284,AI 50
399624,中创400
399392,国证新兴
483076,深港通传媒R（港币）
983076,深港通传媒（港币）
399412,国证新能
980009,湾区制造
480009,湾区制造R
480007,湾区新兴R
980007,湾区新兴
399364,消费100
399684,深成消费
980032,新能电池
480032,新能电池R
399417,新能源车
399688,深成电信
983028,深港通信息技术（港币）
983087,深港通新能源车
483028,深港通信息技术R（港币
483087,深港通新能源车R
399691,创业专利
399660,中创EW
399015,中小创新
983058,深港通电信服务（港币）
399973,中证国防
483030,深港通电信业务R（港币
483058,深港通电信服务R（港币
983034,深港通通信服务（港币）
983030,深港通电信业务（港币）
483034,深港通通信服务R（港币
983037,深港通食品零售
483037,深港通食品零售R
399407,中盘高贝
399695,深证节能
980013,湾区医药
480013,湾区医药R
483040,深港通汽车R（港币）
983040,深港通汽车（港币）
399018,创业创新
399932,中证消费
399976,CS新能车
483073,深港通零售R
983073,深港通零售
987007,港股科技（人民币）
487007,港股科技R（人民币）
399643,创业新兴
980010,湾区制造(港币)
480010,湾区制造R(港币)
480008,湾区新兴R(港币)
980008,湾区新兴(港币)
399646,深消费50
983079,深港通制药
483079,深港通制药R
483059,深港通生科R
399293,创业大盘
983059,深港通生科
399432,智能汽车
983088,深港通新能源车(港币)
483088,深港通新能源车R(港币)
399403,防御100
483003,内地科技50R
983003,内地科技50
399553,央视回报
399706,深证下游
983038,深港通食品零售（港币）
483038,深港通食品零售R（港币
399664,中小高贝
399662,深证高贝
399295,创业蓝筹
