513660,恒生ETF,497000100
516920,芯片ETF基金,491463000
517120,沪港深创新药ETF,484966400
562800,稀有金属ETF,468895000
515910,质量ETF,455507000
159845,中证1000ETF,441822278
510800,50ETF基金,439576000
515990,国企一带一路ETF,427350199
159922,中证500ETF嘉实,411931868
516830,300ESGETF,409676900
159974,央企创新ETF,406432422
513700,香港医药ETF,404846000
159842,券商ETF,402250631
159869,游戏ETF,400082127
516010,游戏ETF,389693000
510410,资源ETF,389258399
159740,恒生科技ETF,388120448
510160,产业升级ETF,380057400
159839,生物药ETF,376735165
513580,恒生科技ETF基金,374118000
516090,新能源ETF易方达,373844800
159973,民企领先100ETF,371976423
512910,中证100ETF,371128800
561130,国货ETF,367935199
512520,MSCIETF,360056400
513300,纳斯达克ETF,359171000
159822,新经济ETF,357234315
159779,消费电子ETF招商,354869337
515920,智能消费ETF,346405700
159929,医药ETF,346204203
159747,香港科技ETF,340423730
159713,稀土ETF,340255051
159896,物联网龙头ETF,337055960
512090,MSCIA股ETF易方达,331592300
510630,消费ETF基金,331361500
515390,华安沪深300ETF,330683000
159875,新能源ETF,330162899
516020,化工ETF,315326200
159840,锂电池ETF,314574851
159843,食品饮料ETF,313455141
159848,证券ETF基金,312311239
159741,恒生科技ETF基金,311796712
159757,电池ETF基金,310931891
510390,平安沪深300ETF,306650000
516080,创新药ETF易方达,306554800
515980,人工智能ETF,304064500
512160,MSCI中国A股ETF,303777800
159811,5G50ETF,301143393
159941,纳指ETF,301052541
159961,深100ETF方正富邦,297245196
512510,中证500指数ETF,296429800
159954,H股ETF,293105083
515230,软件ETF,288690900
516290,光伏ETF基金,287196900
512970,大湾区ETF,286987600
516660,新能汽车ETF,279689000
159745,建材ETF,279688265
517380,创新药沪港深ETF,278326300
516120,化工50ETF,275082000
159887,银行ETF,272715950
159739,大数据ETF,272580615
159847,医疗50ETF,271825354
516800,智能制造ETF,267154000
159982,中证500ETF鹏华,264211253
159708,红利ETF,264028306
159861,碳中和50ETF,263117535
588060,科创板龙头ETF,261140000
159742,恒生科技指数ETF,259928292
159793,线上消费ETF平安,259758908
561350,国泰中证500ETF,259700000
159930,能源ETF,259398150
515960,医药健康ETF,255991900
517200,互联网ETF,255782000
159863,光伏ETF基金,253729352
515320,电子50ETF,253309000
560660,云50ETF,248969000
516730,证券公司ETF,248880800
588280,科创50ETF华安,248121000
512990,MSCIA股ETF,247015400
159732,消费电子ETF,246447904
159716,深创100ETF,245666732
515250,智能汽车ETF,244944500
159877,医疗产业ETF,242792292
512730,中证银行ETF,242083900
159909,TMT50ETF,239061992
516260,物联网50ETF,237882599
159766,旅游ETF,234640963
512390,平安MSCI低波ETF,231682000
516310,银行ETF易方达,227658500
159964,平安创业板ETF,227481881
159729,互联网ETF,223360633
515760,浙江国资ETF,221388100
561500,漂亮50ETF,221100300
510760,上证综指ETF,218503700
515400,大数据ETF,217631400
159824,新能车ETF,217135070
159726,恒生红利ETF,213411380
159852,软件ETF,212623921
159898,医疗器械ETF招商,212098825
516720,ESGETF,211837800
159709,物联网ETF工银,210484060
159980,有色ETF,209824777
515780,浦银MSCI中国ETF,209785200
159805,传媒ETF,209452480
562880,电池ETF基金,208399600
159827,农业50ETF,204716463
560560,泰康碳中和ETF,203190099
159786,VRETF,200701174
159981,能源化工ETF,199536957
516220,化工龙头ETF,199170000
516760,养殖ETF,197215099
517110,创新药沪深港ETF,195098500
159899,软件基金ETF,192977729
159910,基本面120ETF,191906143
516600,消费服务ETF,188332100
512930,AIETF,188130300
513900,港股通100ETF,187978000
515860,科技ETF基金,187878900
515130,沪深300ETF博时,187463200
560500,500ETF质量,187339000
561310,消电ETF,186916600
512550,A50ETF基金,186906000
512770,战略新兴ETF,186767800
159908,创业板ETF博时,183229029
159752,新能源龙头ETF,182958917
516790,医疗保健ETF,182682200
159862,食品ETF,181500623
159903,深成ETF,181154507
159763,新材料ETF基金,178707747
159975,深100ETF招商,171937760
159891,医疗ETF基金,171024837
510590,平安中证500ETF,169986100
515850,证券龙头ETF,169291000
510010,180治理ETF,168524400
510560,国寿500ETF,168318700
512810,国防军工ETF,167791699
512220,科技ETF150,166467599
515950,医药龙头ETF,166200600
159985,豆粕ETF,163924066
516110,汽车ETF,162623100
517350,中概科技ETF,161542000
510710,上证50ETF博时,161018900
515310,沪深300添富ETF,153611200
512380,MSCI中国ETF,150805600
159712,港股通50ETF,149778813
159873,医疗设备ETF,147920000
513690,恒生高股息ETF,146979900
159804,创中盘88ETF,145899676
512360,平安MSCI国际ETF,144337700
516130,消费龙头ETF,143890000
513600,恒生指数ETF,141829500
516770,游戏动漫ETF,141448000
159849,生物科技ETF招商,141372396
510030,价值ETF,141229800
516930,生物科技ETF基金,140639600
516390,新能源汽车ETF,140261000
516520,智能驾驶ETF,139765500
159855,影视ETF,138425236
515450,红利低波50ETF,138335000
159838,医药ETF基金,136763462
159814,创业大盘ETF,136246520
159957,创业板ETF华夏,133784560
561910,电池ETF,133076600
515820,沪深800ETF,133026100
516100,互联网金融ETF,132759700
515200,创新100ETF,130943200
510850,工银上证50ETF,130698900
159991,创大盘ETF,130663172
159770,机器人ETF,130087762
159936,可选消费ETF,128156094
159958,创业板ETF工银,127911448
159976,湾创ETF,126885872
515660,国联安沪深300ETF,126694200
561800,稀有金属ETF基金,126077200
159902,中小100ETF,125460849
159707,地产ETF,125048214
515060,房地产ETF基金,124478100
516670,畜牧养殖ETF,124266299
159720,智能电动车ETF,122812357
515090,可持续发展ETF,122801700
516580,新能源主题ETF,122124100
516180,光伏ETF平安,121987000
516270,新能源50ETF,121409000
159725,线上消费ETF,118424924
515630,证保ETF,118217700
512570,证券ETF易方达,117806100
515770,上投摩根MSCIAETF,117727300
512750,基本面50ETF,117654900
516360,新材料ETF,116551800
516380,智能电动车ETF,116449300
518800,黄金基金ETF,115019900
159767,电池龙头ETF,114873672
516060,创新药产业ETF,114237400
512180,MSCIA股ETF基金,112048000
159988,粤债ETF,111383776
512890,红利低波ETF,111110800
512040,价值100ETF,110857900
516590,智能电动汽车ETF,110015000
159773,创科技ETF,109903120
516510,云计算ETF,108890000
159881,有色60ETF,108249583
561900,沪深300ESGETF,101334400
159892,恒生生物科技ETF,101266022
159735,港股消费ETF,99561371
512120,医药50ETF,98747300
159721,深创龙头ETF,97431696
516500,生物科技ETF,96937200
159866,日经ETF,96479377
516550,农业ETF,96414400
512280,景顺MSCIA股ETF,96005700
517360,沪港深科技ETF,94083000
159983,粤港澳大湾区ETF,93751867
562360,机器人50ETF,92474000
159906,深成长龙头ETF,91639725
516630,云计算50ETF,91156000
159858,创新药指ETF,91098318
159717,ESGETF,90373183
516610,医疗服务ETF,89974800
159945,能源ETF基金,88072327
159888,智能车ETF,87446068
159889,智能汽车ETF,87400796
516960,机械ETF,86051100
512260,中证500低波ETF,85297700
159916,深F60ETF,85066039
516210,银行股ETF,81431000
512590,高股息ETF,78503400
159710,智能电车ETF,78344933
159990,小盘价值ETF,77919629
510200,上证券商ETF,77385500
159872,车联网ETF,77299732
159943,深证成指ETF,77229922
515670,中银中证100ETF,75322500
159723,科技龙头ETF,75025575
510290,上证380ETF,72448900
159933,国投金融地产ETF,72378943
516560,养老ETF,72258000
159853,科技100ETF,72251992
159895,物联网50ETF,72241864
515810,中证800ETF,71908800
159792,港股通互联网ETF,71855237
159823,H股ETF基金,71363219
516710,新材料50ETF,70272000
515300,红利低波ETF基金,69175200
159968,中证500ETF博时,68895098
159836,创300ETF,67747113
159986,消费100ETF,67152218
513990,港股通ETF,67000000
515100,低波红利ETF,66941500
516000,大数据50ETF,66855000
516330,物联网ETF,66071300
510170,大宗商品ETF,65228700
516320,高端装备ETF,64589300
159703,新材料ETF,62581591
159733,消费电子50ETF,62156925
512320,工银MSCI中国ETF,62040800
159835,创新药50ETF,61504143
159907,中小300ETF,61098847
159984,湾区100ETF,60591565
159965,央视50ETF,60426953
516890,新材料ETF平安,60311400
513590,香港消费ETF,57918900
516850,新能源80ETF,57237000
517800,人工智能50ETF,56539700
517170,沪港深ETF,56131800
511380,可转债ETF,55286700
510990,180ESGETF,54948600
159808,创业板ETF融通,53484790
159987,科技创新ETF,53457627
515280,银行龙头ETF,53418600
513000,日经225ETF易方达,51411400
159956,创业板ETF建信,50978674
159912,深300ETF,49548991
510530,工银中证500ETF,49479399
513520,日经ETF,48887200
